permittype,permit_type_desc,permit_number,permit_class_mapped,permit_class,work_class,condominium,permit_location,description,tcad_id,legal_description,applieddate,issue_date,day_issued,calendar_year_issued,fiscal_year_issued,issued_in_last_30_days,issue_method,status_current,statusdate,expiresdate,completed_date,remodel_repair_sqft,number_of_floors,housing_units,original_address1,original_city,original_state,original_zip,council_district,jurisdiction,link,project_id,latitude,longitude,location,certificate_of_occupancy,total_valuation_remodel,total_job_valuation,building_valuation_remodel,electrical_valuation_remodel,mechanical_valuation_remodel,plumbing_valuation_remodel,masterpermitnum,total_existing_bldg_sqft,total_new_add_sqft,total_lot_sq_ft,electrical_valuation
PP,Plumbing Permit,2026-052502 PP,Residential,Residential,Repair,No,4904 WING RD,Repair main water service line from house to meter upgrading line size and addition of accessible shut off valve,0410280611,LOT 11 BLK K WESTCREEK PHS 3 SEC 1,2026-04-28T00:00:00.000,2026-04-30T00:00:00.000,THURSDAY,2026,2026,No,Permit Center,Final,2026-05-01T00:00:00.000,2026-05-01T00:00:00.000,2026-05-01T00:00:00.000,0,1,1,4904 WING RD,AUSTIN,TX,78749,8,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13694547'},13694547,30.22820716,-97.84463326,"{'latitude': '30.22820716', 'longitude': '-97.84463326', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,,,,,
BP,Building Permit,2026-050187 BP,Residential,R- 435 Renovations/Remodel,Repair,No,1135 LOTT AVE UNIT 2,Express: Wheelchair ramp,0208210655,LOT 3 BLK 4 GREEN VALLEY NO 1,2026-04-22T00:00:00.000,2026-04-23T00:00:00.000,THURSDAY,2026,2026,No,Permit Center,Final,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,1,1,1,1135 LOTT AVE UNIT 2,AUSTIN,TX,78721,1,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13691952'},13691952,,,,No,4,1,1,1,1,1,13691469,,,,
EP,Electrical Permit,2026-035783 EP,Residential,R- 435 Renovations/Remodel,Repair,No,6707 KROLLTON DR,Express: Replace shower with roll-in shower install new diverter valve and piping replace existing vanity install faucet install new trap drain supply lines valves remove and replace flooring  replace missing sheetrock furnish and install exhaust fan upgrade main panel,0415191201,LOT 1 BLK I CHERRY CREEK PHS III SEC 2,2026-03-25T00:00:00.000,2026-04-01T00:00:00.000,WEDNESDAY,2026,2026,No,Permit Center,Final,2026-04-08T00:00:00.000,2026-04-08T00:00:00.000,2026-04-08T00:00:00.000,1,1,1,6707 KROLLTON DR,AUSTIN,TX,78745,5,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13675390'},13675390,30.20701486,-97.81180152,"{'latitude': '30.20701486', 'longitude': '-97.81180152', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,1,,,13675389,,,,
BP,Building Permit,2026-035783 BP,Residential,R- 435 Renovations/Remodel,Repair,No,6707 KROLLTON DR,Express: Replace shower with roll-in shower install new diverter valve and piping replace existing vanity install faucet install new trap drain supply lines valves remove and replace flooring  replace missing sheetrock furnish and install exhaust fan upgrade main panel,0415191201,LOT 1 BLK I CHERRY CREEK PHS III SEC 2,2026-03-25T00:00:00.000,2026-03-26T00:00:00.000,THURSDAY,2026,2026,No,Permit Center,Final,2026-04-23T00:00:00.000,2026-04-23T00:00:00.000,2026-04-23T00:00:00.000,1,1,1,6707 KROLLTON DR,AUSTIN,TX,78745,5,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13675389'},13675389,30.20701486,-97.81180152,"{'latitude': '30.20701486', 'longitude': '-97.81180152', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,0,1,0,0,0,0,13675387,,,,
EP,Electrical Permit,2026-033941 EP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,716 SHINY ROCK DR,Garage Conversion- The existing garage will be converted into a bedroom due to knee injury that limits mobility to the upstairs level. Will add a larger vanity and shower.,0434150211,LOT 21 BLK K TEXAS OAKS SEC 7-C,2025-12-30T00:00:00.000,2026-03-25T00:00:00.000,WEDNESDAY,2026,2026,No,Permit Center,Active,2026-06-04T00:00:00.000,2026-12-01T00:00:00.000,,0,2,1,716 SHINY ROCK DR,AUSTIN,TX,78748,5,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13673288'},13673288,30.16001718,-97.8134296,"{'latitude': '30.16001718', 'longitude': '-97.8134296', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,4000,,,13673287,2714,320,,
PP,Plumbing Permit,2026-033941 PP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,716 SHINY ROCK DR,Garage Conversion- The existing garage will be converted into a bedroom due to knee injury that limits mobility to the upstairs level. Will add a larger vanity and shower.,0434150211,LOT 21 BLK K TEXAS OAKS SEC 7-C,2025-12-30T00:00:00.000,2026-04-07T00:00:00.000,TUESDAY,2026,2026,No,Permit Center,Active,2026-06-04T00:00:00.000,2026-12-01T00:00:00.000,,0,2,1,716 SHINY ROCK DR,AUSTIN,TX,78748,5,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13673290'},13673290,30.16001718,-97.8134296,"{'latitude': '30.16001718', 'longitude': '-97.8134296', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,13673287,2714,320,,
BP,Building Permit,2026-033941 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,716 SHINY ROCK DR,Garage Conversion- The existing garage will be converted into a bedroom due to knee injury that limits mobility to the upstairs level. Will add a larger vanity and shower.,0434150211,LOT 21 BLK K TEXAS OAKS SEC 7-C,2025-12-30T00:00:00.000,2026-03-24T00:00:00.000,TUESDAY,2026,2026,No,Permit Center,Active,2026-06-04T00:00:00.000,2026-12-01T00:00:00.000,,0,2,1,716 SHINY ROCK DR,AUSTIN,TX,78748,5,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13673287'},13673287,30.16001718,-97.8134296,"{'latitude': '30.16001718', 'longitude': '-97.8134296', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,4,30000,1,1,1,1,13634196,,320,5663,
MP,Mechanical Permit,2026-030334 MP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,4204 BOWSTRING CV,interior remodel - interior remodel of a bathroom and closet to make them accessible. no change to exterior walls.,0101230914,LOT 15 BLK P VILLAGE PARK 4 AT TRAVIS COUNTRY,2025-06-02T00:00:00.000,2026-03-16T00:00:00.000,MONDAY,2026,2026,No,Permit Center,Final,2026-03-17T00:00:00.000,2026-03-17T00:00:00.000,2026-03-17T00:00:00.000,595,2,1,4204 BOWSTRING CV,AUSTIN,TX,78735,8,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13669110'},13669110,30.2534522,-97.83193793,"{'latitude': '30.2534522', 'longitude': '-97.83193793', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,13531632,595,0,,
PP,Plumbing Permit,2026-035783 PP,Residential,R- 435 Renovations/Remodel,Repair,No,6707 KROLLTON DR,Express: Replace shower with roll-in shower install new diverter valve and piping replace existing vanity install faucet install new trap drain supply lines valves remove and replace flooring  replace missing sheetrock furnish and install exhaust fan upgrade main panel,0415191201,LOT 1 BLK I CHERRY CREEK PHS III SEC 2,2026-03-25T00:00:00.000,2026-03-26T00:00:00.000,THURSDAY,2026,2026,No,Permit Center,Final,2026-04-23T00:00:00.000,2026-04-23T00:00:00.000,2026-04-23T00:00:00.000,1,1,1,6707 KROLLTON DR,AUSTIN,TX,78745,5,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13675391'},13675391,30.20701486,-97.81180152,"{'latitude': '30.20701486', 'longitude': '-97.81180152', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,13675389,,,,
BP,Building Permit,2026-037692 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,9206 UNITED KINGDOM DR,Addition/Remodel of 1-story single family residence.  Enclosing existing covered patio & raising outside concrete to create a no-step entrance to rear yard.  The existing & to-remain aspects of the unpermitted patio will be retroactively permitted.,0428150246,LOT 4 BLK U BUCKINGHAM ESTATES PHS IV SEC A,2026-02-18T00:00:00.000,2026-03-31T00:00:00.000,TUESDAY,2026,2026,No,Permit Center,Final,2026-06-18T00:00:00.000,2026-06-18T00:00:00.000,2026-06-18T00:00:00.000,185,1,0,9206 UNITED KINGDOM DR,AUSTIN,TX,78748,5,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13677628'},13677628,30.17478303,-97.80950245,"{'latitude': '30.17478303', 'longitude': '-97.80950245', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Yes,1,1,1,0,0,0,13656782,,185,6674,
EP,Electrical Permit,2026-037859 EP,Residential,Residential,Repair,No,8300 SHENANDOAH DR,"PROJECT SCOPE

Provide one new dedicated AFCI/GFCI protected 20A 120V branch circuit from the main panel on the exterior wall of the house to a new kitchen range hood.
No meter work being performed.

INSTALLATION DETAILS

Install a vertical 1-inch Steel EMT raceway exiting the main electrical panel from a 1-inch LR conduit body (located below all energized parts) on the homes exterior brick wall. Transition raceway to horizontal orientation for building penetration using a 1 LB. Penetrate into the accessible attic with 1 EMT terminating into a 4-11/16 steel junction box with a blank cover.

Install #10-2 UF-B cable (1 HOT 1 NEUTRAL 1 EGC) (Sunlight Resistant/Wet Location rated) from the range hood to the steel junction box. Cable will be routed along ceiling rafters; any portion below 7 will be protected by guard strips per NEC 320.23. The #10-2 UF-B will be sleeved continuously from the 4-11/16 junction box through the LB down the vertical EMT and through the LR terminating directly into the main panel . This avoids all splices providing a continuous run from the OCPD to the appliance.

CODE COMPLIANCE NOTES:

10 AWG conductors are specd. for this 20A circuit to account for ambient temperature correction in the unconditioned attic and sun-exposed exterior raceway. The EMT will be sealed with duct seal at the attic box and panel entry to prevent moisture migration and condensation per NEC 300.7. All cables and raceways will be supported/secured per NEC. All exterior fittings/hardware will be UL-listed rain-tight compression type. All cables and raceways will be supported and secured per NEC requirements. An insulated throat fitting or plastic bushing will be used at all EMT entry points to protect the cable jacket from abrasion. All wire terminations will be torqued to the manufacturer specifications per 2023 NEC 110.14(D)",0235180410,LOT 27 BLK G HERITAGE HILLS SEC 3,2026-03-30T00:00:00.000,2026-04-05T00:00:00.000,SUNDAY,2026,2026,No,Permit Center,Active,2026-04-05T00:00:00.000,2026-10-02T00:00:00.000,,0,1,1,8300 SHENANDOAH DR,AUSTIN,TX,78753,4,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13677805'},13677805,30.34468913,-97.69291041,"{'latitude': '30.34468913', 'longitude': '-97.69291041', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,1200,,,,,,,
BP,Building Permit,2026-009026 BP,Residential,R- 435 Renovations/Remodel,Repair,No,815 W JOHANNA ST,Express- Handicap ramp,0401020103,LOT 8 BLK L BOULDIN JAMES E ADDN,2026-01-23T00:00:00.000,2026-01-23T00:00:00.000,FRIDAY,2026,2026,No,Permit Center,Final,2026-02-23T00:00:00.000,2026-02-23T00:00:00.000,2026-02-23T00:00:00.000,1,1,1,815 W JOHANNA ST,AUSTIN,TX,78704,3,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13645009'},13645009,30.24663377,-97.76121955,"{'latitude': '30.24663377', 'longitude': '-97.76121955', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,4,1,1,1,1,1,13645006,,,,
BP,Building Permit,2026-014050 BP,Residential,R- 435 Renovations/Remodel,Repair,No,6616 ESTANA LN,Express: Wheelchair ramp,0428500212,LOT 46 BLK B ESQUEL PHS 1 SEC 3,2026-02-05T00:00:00.000,2026-02-05T00:00:00.000,THURSDAY,2026,2026,No,Permit Center,Active,2026-02-18T00:00:00.000,2026-08-17T00:00:00.000,,1,1,1,6616 ESTANA LN,AUSTIN,TX,78739,8,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13650715'},13650715,30.17998137,-97.90579914,"{'latitude': '30.17998137', 'longitude': '-97.90579914', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,0,1,0,0,0,0,13650712,,,,
EP,Electrical Permit,2026-011224 EP,Residential,R- 435 Renovations/Remodel,Repair,No,1019 WALTER ST,EXPRESS: Ramp out front door; concrete 15 ft and misc electrical,0207111208,LOT 19A *RESUB OF LTS 19-23 BLK A OLT 12 DIV B ROSEWOOD VILLAGE SEC 8 AMENDED,2026-01-29T00:00:00.000,2026-02-26T00:00:00.000,THURSDAY,2026,2026,No,Permit Center,Cancelled - Contractor Required,2026-03-11T00:00:00.000,2026-09-01T00:00:00.000,,1,1,1,1019 WALTER ST,AUSTIN,TX,78702,1,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13647519'},13647519,30.26813926,-97.71347037,"{'latitude': '30.26813926', 'longitude': '-97.71347037', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,1900,,,,,,,
BP,Building Permit,2026-011224 BP,Residential,R- 435 Renovations/Remodel,Repair,No,1019 WALTER ST,EXPRESS: Ramp out front door; concrete 15 ft and misc electrical,0207111208,LOT 19A *RESUB OF LTS 19-23 BLK A OLT 12 DIV B ROSEWOOD VILLAGE SEC 8 AMENDED,2026-01-26T00:00:00.000,2026-02-26T00:00:00.000,THURSDAY,2026,2026,No,Permit Center,Final,2026-03-12T00:00:00.000,2026-03-12T00:00:00.000,2026-03-12T00:00:00.000,1,1,1,1019 WALTER ST,AUSTIN,TX,78702,1,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13647518'},13647518,30.26813926,-97.71347037,"{'latitude': '30.26813926', 'longitude': '-97.71347037', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,4,1,1,1,1,1,13645412,,,,
PP,Plumbing Permit,2025-144406 PP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,15108 CALAVERAS DR,"This project involves the remodel of an existing bathroom within an occupied structure. The total scope is confined to a clearly defined interior area and does not include work in the adjacent areas marked as NOT IN SCOPE on the provided plans.
The remodel includes interior upgrades to plumbing fixtures partitions finishes and select building systems. This project is part of a 205 sq. ft. interior renovation focused on improving functionality accessibility and compliance with applicable codes (plumbing ADA etc.)",R390040,S7399 - Davis Spring Sec 3-d Amended BLOCK O Lot 1,2025-10-13T00:00:00.000,2025-12-17T00:00:00.000,WEDNESDAY,2025,2026,No,Permit Center,Final,2026-04-24T00:00:00.000,2026-04-24T00:00:00.000,2026-04-24T00:00:00.000,205,2,1,15108 CALAVERAS DR,AUSTIN,TX,78717,6,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13612585'},13612585,30.49521181,-97.77014673,"{'latitude': '30.49521181', 'longitude': '-97.77014673', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,13612582,0,0,,
BP,Building Permit,2026-002960 BP,Residential,R- 435 Renovations/Remodel,Repair,No,5404 BROMPTON CIR,Express: Wheelchair ramp,0414101520,LOT 19 BLK A SALEM VILLAGE,2026-01-08T00:00:00.000,2026-01-09T00:00:00.000,FRIDAY,2026,2026,No,Permit Center,Final,2026-02-09T00:00:00.000,2026-02-09T00:00:00.000,2026-02-09T00:00:00.000,1,1,1,5404 BROMPTON CIR,AUSTIN,TX,78745,2,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13638197'},13638197,30.21085035,-97.78244192,"{'latitude': '30.21085035', 'longitude': '-97.78244192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,4,1,1,1,1,1,13638069,,,,
BP,Building Permit,2026-002874 BP,Residential,R- 435 Renovations/Remodel,Repair,No,4701 FRONTIER TRL,Express: Handicap Ramp,0410112118,LOT 1 BLK A WESTERN TRAILS SEC 1,2026-01-08T00:00:00.000,2026-01-08T00:00:00.000,THURSDAY,2026,2026,No,Permit Center,Final,2026-02-09T00:00:00.000,2026-02-09T00:00:00.000,2026-02-09T00:00:00.000,1,1,1,4701 FRONTIER TRL,AUSTIN,TX,78745,5,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13638102'},13638102,30.22631824,-97.79324501,"{'latitude': '30.22631824', 'longitude': '-97.79324501', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,4,1,1,1,1,1,13638090,,,,
PP,Plumbing Permit,2026-001083 PP,Residential,Residential,Repair,No,9306 TEA ROSE TRL,Drain line repair under slab.  This is an emergency repair because occupant of home is handicapped and cannot use the bathroom designated for him.,0424251280,LOT 4 BLK A CHERRY CREEK SEC 11,2026-01-06T00:00:00.000,2026-01-06T00:00:00.000,TUESDAY,2026,2026,No,Permit Center,Active,2026-06-18T00:00:00.000,2026-12-15T00:00:00.000,,2000,1,1,9306 TEA ROSE TRL,AUSTIN,TX,78748,5,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13636022'},13636022,30.18999847,-97.84269213,"{'latitude': '30.18999847', 'longitude': '-97.84269213', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,,,,,
BP,Building Permit,2025-147830 BP,Residential,R- 435 Renovations/Remodel,Repair,No,2816 E 22ND ST,Express- handicap ramp,0212120615,W CEN 50FT OF LOT 14 *& W CEN 50FT LOT 16 BLK 3 OLT 48 DIV B AUSTIN HEIGHTS,2025-11-17T00:00:00.000,2025-11-18T00:00:00.000,TUESDAY,2025,2026,No,Permit Center,Final,2025-12-01T00:00:00.000,2025-12-01T00:00:00.000,2025-12-01T00:00:00.000,1,1,1,2816 E 22ND ST,AUSTIN,TX,78722,1,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13616386'},13616386,30.28444414,-97.71081898,"{'latitude': '30.28444414', 'longitude': '-97.71081898', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,4,1,1,1,1,1,13616377,,,,
BP,Building Permit,2025-152040 BP,Residential,R- 435 Renovations/Remodel,Repair,No,5705 AVENUE D,EXPRESS: Handicap Ramp,0227090221,LOT 43 SKYVIEW SEC 1,2025-11-26T00:00:00.000,2025-11-26T00:00:00.000,WEDNESDAY,2025,2026,No,Permit Center,Withdrawn,2026-05-01T00:00:00.000,2026-05-26T00:00:00.000,2026-05-01T00:00:00.000,1,1,1,5705 AVENUE D,AUSTIN,TX,78752,4,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13621173'},13621173,30.32322608,-97.72006852,"{'latitude': '30.32322608', 'longitude': '-97.72006852', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,4,1,1,1,1,1,13621170,,,,
MP,Mechanical Permit,2025-011728 MP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,1000 ELM ST,"Interior Remodel. Remodel of existing noncomplying 1-story single family residence to include kitchen and bathrooms. Restoration of existing windows repair existing deck and covered porch new stairs and handrail/guardrail at front and rear of single family residence to meet code. Repair metal roof and siding. Reconfigure interior layout.

11/14/25 SM - Revised Existing conditioned attic storage area also being updated with electrical and HVAC.",0110020210,LOT 20 BLK 5 OLT 4 DIV Z SHELLEY HEIGHTS 2,2024-11-21T00:00:00.000,2025-12-03T00:00:00.000,WEDNESDAY,2025,2026,No,Permit Center,Final,2026-05-06T00:00:00.000,2026-05-06T00:00:00.000,2026-05-06T00:00:00.000,1749,1,1,1000 ELM ST,AUSTIN,TX,78703,9,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13462267'},13462267,30.27845971,-97.75885049,"{'latitude': '30.27845971', 'longitude': '-97.75885049', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,13462255,3430,0,,
EP,Electrical Permit,2025-144406 EP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,15108 CALAVERAS DR,"This project involves the remodel of an existing bathroom within an occupied structure. The total scope is confined to a clearly defined interior area and does not include work in the adjacent areas marked as NOT IN SCOPE on the provided plans.
The remodel includes interior upgrades to plumbing fixtures partitions finishes and select building systems. This project is part of a 205 sq. ft. interior renovation focused on improving functionality accessibility and compliance with applicable codes (plumbing ADA etc.)",R390040,S7399 - Davis Spring Sec 3-d Amended BLOCK O Lot 1,2025-10-13T00:00:00.000,2025-11-20T00:00:00.000,THURSDAY,2025,2026,No,Permit Center,Final,2026-04-24T00:00:00.000,2026-04-24T00:00:00.000,2026-04-24T00:00:00.000,205,2,1,15108 CALAVERAS DR,AUSTIN,TX,78717,6,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13612584'},13612584,30.49521181,-97.77014673,"{'latitude': '30.49521181', 'longitude': '-97.77014673', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,500,,,13612582,1,0,,
BP,Building Permit,2025-143563 BP,Residential,R- 435 Renovations/Remodel,Repair,No,209 OERTLI LN,express - handicap ramp,0235150751,LOT 6 WILLEFORD ADDN,2025-11-06T00:00:00.000,2025-11-06T00:00:00.000,THURSDAY,2025,2026,No,Permit Center,Final,2025-12-03T00:00:00.000,2025-12-03T00:00:00.000,2025-12-03T00:00:00.000,1,1,1,209 OERTLI LN,AUSTIN,TX,78753,4,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13611632'},13611632,30.3491795,-97.69995127,"{'latitude': '30.3491795', 'longitude': '-97.69995127', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,4,1,1,1,1,1,13611607,,,,
BP,Building Permit,2025-144406 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,15108 CALAVERAS DR,"This project involves the remodel of an existing bathroom within an occupied structure. The total scope is confined to a clearly defined interior area and does not include work in the adjacent areas marked as NOT IN SCOPE on the provided plans.
The remodel includes interior upgrades to plumbing fixtures partitions finishes and select building systems. This project is part of a 205 sq. ft. interior renovation focused on improving functionality accessibility and compliance with applicable codes (plumbing ADA etc.)",R390040,S7399 - Davis Spring Sec 3-d Amended BLOCK O Lot 1,2025-10-13T00:00:00.000,2025-11-17T00:00:00.000,MONDAY,2025,2026,No,Permit Center,Final,2026-04-24T00:00:00.000,2026-04-24T00:00:00.000,2026-04-24T00:00:00.000,205,2,1,15108 CALAVERAS DR,AUSTIN,TX,78717,6,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13612582'},13612582,30.49521181,-97.77014673,"{'latitude': '30.49521181', 'longitude': '-97.77014673', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,0,1,0,0,0,0,13598896,,0,0,
MP,Mechanical Permit,2025-144252 MP,Residential,Residential,Change Out,,806 JEWELL ST,Replacement of complete existing central heat and air system with or without duct work 2 ton horizontal gas 90% HVAC system changeout with accessible duct replacement like for like,0101010314,LOT 2 BLK A JEWELL SUBD,2025-11-07T00:00:00.000,2025-11-10T00:00:00.000,MONDAY,2025,2026,No,Permit Center,Final,2026-02-13T00:00:00.000,2026-02-13T00:00:00.000,2026-02-13T00:00:00.000,,,,806 JEWELL ST,AUSTIN,TX,78704,9,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13612428'},13612428,30.25122914,-97.75722906,"{'latitude': '30.25122914', 'longitude': '-97.75722906', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
BP,Building Permit,2025-113709 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,15408 FISHER ISLAND DR,Repair and replace existing wooden deck(12 by 16ft) with composite deck in and extend by 7ft. The builder will install new concrete footings to meet Trex Specs 4x6 support post and attached to footings with metal post bases.Contractor to install double 2x10 beam and attached to 4x6 post. Contractor to install 2x8 ledger and bolted to home foundation with 1/2 wedge anchors every 24. Joist to be 2x8 at 16o.c. and attached to ledger with metal joist hangers and attach to beam the hurricane ties. All decking to be attached with camo hidden fasteners. Contractor to install a 4x4 landing with steps and 36 tall black metal railing with 5 1/2 IPE hand rail.,R424462,S7999 - Avery South Sec 1 Ph 2 BLOCK J Lot 20,2025-03-16T00:00:00.000,2025-10-22T00:00:00.000,WEDNESDAY,2025,2026,No,Permit Center,Active,2026-04-24T00:00:00.000,2026-10-21T00:00:00.000,,0,1,1,15408 FISHER ISLAND DR,AUSTIN,TX,78717,6,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13578460'},13578460,30.4962681,-97.76574843,"{'latitude': '30.4962681', 'longitude': '-97.76574843', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,1,1,1,0,0,0,13484698,,53,9587,
MP,Mechanical Permit,2025-139319 MP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,4902 AVENUE G,Interior remodel - Remodeling of kitchen by removing wall at front and enclosing current entrance to kitchen remove and replace all cabinets relocate sink and move range; widening of door to front bedroom to create opening mirroring dining room opening; widen door going into laundry/mud room; remodel both bathrooms with new showers and fixtures add can lights per plans; refinish all current hardwood floors add hardwood to newer section sheetrock repairs and paint interior,0223090111,LOT 4 & N 15FT OF LT3&S 20 LOT 5 BLK 54 HIGHLANDS THE LOT 2 BLK 3 & E 15 OF HEGMAN SUBD,2025-06-12T00:00:00.000,2025-10-28T00:00:00.000,TUESDAY,2025,2026,No,Permit Center,Final,2026-05-28T00:00:00.000,2026-05-28T00:00:00.000,2026-05-28T00:00:00.000,1000,1,1,4902 AVENUE G,AUSTIN,TX,78751,9,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13606860'},13606860,30.31324385,-97.72311579,"{'latitude': '30.31324385', 'longitude': '-97.72311579', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,13539127,0,1000,,
