_id,no_demande,id_permis,date_debut,date_emission,emplacement,arrondissement,code_type_base_demande,description_type_demande,description_type_batiment,description_categorie_batiment,nature_travaux,nb_logements,longitude,latitude,loc_x,loc_y,rank
365452,3003179748,3001538562,2022-05-27,2022-07-13,6571  rue De La Roche,Rosemont - La Petite-Patrie,TR,PA-Transfo.PIIA sans agrand.,Résidentiel,3 Logements,"INSTALLATION D'UNE PLATE-FORME ÉLÉVATRICE À GAINE NON FERMÉE EN FACADE AVANT - nouvelle section de garde-corps, aluminium soudé ou acier forgé",0,-73.60189431643155,45.539320412750634,296842.48,5044383.42,0.31676343
545421,2900111462,2900126270,2010-09-09,2010-09-10,4691  rue Beauvoir,Saint-Léonard,TR,Transformation,Habitation,Multiplex,Installation d'une plate-forme élévatrice verticale dans la cour arrière.,2,-73.6004867643458,45.577972521216815,296957.78,5048678.75,0.31676343
412502,3001573558,3000814353,2019-05-17,2019-05-17,130  83e Avenue,Rivière-des-Prairies - Pointe-aux-Trembles,TR,Transformation,Résidentiel,1 Logement,"INSTALLATION D'UNE PLATE-FORME ÉLÉVATRICE À L'ARRIÈRE DE LA MAISON, CHANGER LA PORTE-PATIO, RÉNOVATION DE LA SALLE DE BAIN ET CHANGER DEUX PORTES INTÉRIEURS.",0,-73.4882188009651,45.690183549222496,305717.6,5061144.26,0.31676343
137560,3000667069,3000319030,2012-11-15,2012-11-21,11945  rue Filion,Ahuntsic - Cartierville,TR,Transformation,Résidentiel,1 Logement,"En cour avant, agrandir le perron, construire un nouvel escalier par dessus l'existant. Installer une plate-forme élévatrice conforme à la norme B-613.",0,-73.7026694323914,45.53374904510687,288970.8,5043779.19,0.31676343
308639,2900107782,2900122776,2002-03-06,2002-04-03,7525  rue Montpetit,Saint-Léonard,TR,Rénovation,Habitation,Multiplex,Modification du vestibule donnant accès au sous-sol et des ouvertures de portes pour faciliter l'utilisation d'une plate-forme élévatrice. (P.A.D.),0,-73.58703707367114,45.57843381310005,298007.48,5048728.79,0.31676343
551744,2900112812,2900127418,2013-09-10,2013-09-17,6320  rue de Louvois,Saint-Léonard,TR,Transformation,Habitation,Multiplex,Installation d'une plate-forme élévatrice en cour avant.,5,-73.58933750777648,45.596442657745406,297830.18,5050730.35,0.31676343
43350,3000120987,3000038743,2008-10-17,2008-10-17,727  2e Avenue,Verdun,CO,Rénovation,Habitation,Multiplex,"Installer plate-forme élévatrice donnant le balcon avant, niveau rez-de-chaussée.",0,-73.5737586614869,45.458298243232704,299031.49,5035376.99,0.31676343
81170,3000179946,3000063561,2010-02-24,2010-02-25,5173  rue de Bellechasse,Rosemont - La Petite-Patrie,TR,Transformation,Résidentiel,4 Logements,"À L'AVANT, INSTALLER UNE PLATE-FORME ÉLÉVATRICE ET RÉAMÉNAGER LA SALLE DE BAIN TEL QUE PLANS.",0,-73.56694455557431,45.57221564580882,299574.96,5048036.25,0.31676343
44518,3000113491,3000035959,2008-08-04,2008-08-04,8364  avenue Henri-Julien,Villeray - Saint-Michel - Parc-Extension,TR,Transformation,Résidentiel,2 Logements,INSTALLATION D'UNE PLATE-FORME ÉLÉVATRICE EN FAÇADE ET DÉPLACEMENT DE L'ESCALIER.,0,-73.63435643688263,45.54236624782384,294307.89,5044725.64,0.31676343
252945,3001322459,3000658113,2017-07-13,2017-08-07,4945  rue Rose-Marie,Pierrefonds - Roxboro,CO,TF- Transformation,habitation,unifamiliale (1 log),AGRANDISSEMENT DU BALCON EN FAÇADE AVANT ET INSTALLATION D'UNE PLATE-FORME ÉLÉVATRICE EXTÉRIEUR EN FAÇADE.,0,-73.93336322210584,45.45444419657681,270905.26,5035037.4,0.31676343
209233,3001127897,3000540863,2016-04-08,2016-05-02,4335  avenue Royal,Côte-des-Neiges - Notre-Dame-de-Grâce,TR,Transformation,Résidentiel,1 Logement,"EN COUR AVANT, INSTALLER UNE PLATE-FORME ÉLÉVATRICE.",0,-73.62670625202412,45.47245076148226,294893.05,5036954.92,0.31676343
250874,3001333109,3000661413,2017-08-24,2017-08-28,60  terrasse des Cèdres,Rivière-des-Prairies - Pointe-aux-Trembles,TR,Transformation,Résidentiel,1 Logement,Installer une plate-forme élévatrice pour personne à mobilité réduite à l'arrière du bâtiment et remplacer de la porte-patio par une porte battante avec imposte latérale.,0,-73.51055507853697,45.648431118544885,303977.29,5056504.14,0.31676343
37823,3000100538,3000031851,2008-04-16,2008-04-22,59  rue Mercier,L'Île-Bizard - Sainte-Geneviève,TR,Transformation - modification,Résidentiel,1 Logement,AMÉNAGEMENT D'UNE PLATE-FORME ÉLÉVATRICE VERTICALE À MÊME LE PERRON EXISTANT,0,-73.87642505341707,45.48324521047273,275373.57,5038215.62,0.31676343
119679,3000588426,3000269103,2012-08-23,2012-08-28,8120  rue Atherton,Côte-des-Neiges - Notre-Dame-de-Grâce,TR,Transformation,Résidentiel,1 Logement,"En façade, rehausser le balcon et installer une plate-forme élévatrice verticale extérieur. Tel que plans.",0,-73.65738820996822,45.50347290122717,292500.83,5040406.65,0.31676343
271759,3001501534,3000835301,2019-02-14,2019-06-17,8088  rue Saint-Denis,Villeray - Saint-Michel - Parc-Extension,TR,Transformation,Commercial,Mixte,RÉAMÉNAGEMENT INTÉRIEUR DANS LE BUT D'ACCEUILLIR UNE BOULANGERIE/RESTAURANT/ÉCOLE DE PATISSERIE (INCLUANT L'AJOUT D'UNE PLATE-FORME ÉLÉVATRICE INTÉRIEUR). À L'EXTÉRIEUR SUR LA RUE JARRY: RETIRER UNE FENÊTRE POUR AJOUT D'UNE NOUVELLE ENTRÉE ET TRAVAUX DE REJOINTEMENT DE BRIQUE. CE PERMIS N'AUTORISE AUCUN TRAVAUX DE STRUCTURE.,0,-73.62912658258176,45.54230267993118,294716.29,5044717.9,0.31676343
164992,3000998414,3000467413,2015-05-06,2015-05-14,383  avenue Desmarchais,Verdun,CO,Rénovation,Habitation,Familiale,Installation d'une plate-forme élévatrice au rez-de-chaussée et rénovation de la salle de bain pour l'aménager pour une personne à mobilité réduite.,0,-73.57156336976821,45.45497678360756,299202.85,5035007.72,0.31676343
16213,3000029491,3000009541,2005-11-16,2005-11-17,8056  rue Paul-De Maurel,Rivière-des-Prairies - Pointe-aux-Trembles,TR,Transformation,Résidentiel,1 Logement,"Construire un balcon à l'arrière, fournir et installer une plate-forme élévatrice et réaméager la salle de bain du rez de chaussé",0,-73.59098808257323,45.63556998552343,297706.34,5055078.82,0.31676343
238623,3001182894,3000574277,2016-09-08,2016-09-08,3430  rue François-Perrault,Villeray - Saint-Michel - Parc-Extension,TR,Transformation,Résidentiel,2 Logements,"En facade du batiment, installation d'une plate-forme élévatrice verticale et remplacement de la porte au RDC. Le tout tel que croquis.",0,-73.598487455524,45.561889813938286,297111.62,5046891.26,0.31676343
33377,1309518875,1309518875,1995-05-15,1995-06-07,755  4e Avenue,Verdun,CO,Construction,Habitation,Non catégorisé,INST. PLATE-FORME ÉLÉVATRICE (755),0,-73.57420964019325,45.45714973114739,298996.1,5035249.39,0.31676343
482097,1000987498,1000481098,1998-06-12,1998-06-17,8431  rue Saint-Denis,Villeray - Saint-Michel - Parc-Extension,TR,Transformation,Résidentiel,5 à 11 Logements,"INST. PLATE-FORME ÉLÉVATRICE EXT., RÉAM.SALLE DE BAINS, MODIF. COMPTOIRSCUISINES (ADAPTATION DE DOMICILE AU 8435)",0,-73.63435705157339,45.54409529254473,294308.16,5044917.79,0.31676343
238378,3001219951,3000620713,2016-10-18,2016-12-08,9455  avenue Millen,Ahuntsic - Cartierville,TR,Transformation,Résidentiel,2 Logements,"En façade, remplacer et abaisser la porte donnant accès au balcon du 1er étage et installer une plate-forme élévatrice verticale conforme à la norme B-613.",0,-73.64944685880039,45.5518840223061,293131.42,5045785.44,0.31676343
235857,3001273607,3000630339,2017-01-12,2017-02-09,1295  rue Gohier,Saint-Laurent,CA,MA Modif Ext - Acc: Resid,HABITATION,H2 Bifamiliale,MODIFICATIONS EXTÉRIEURES ; PLATE-FORME ÉLÉVATRICE,0,-73.68685326776956,45.516194372009984,290201.56,5041825.33,0.31676343
39257,3000102187,3000032256,2008-05-01,2008-05-01,5942  5e Avenue,Rosemont - La Petite-Patrie,TR,Transformation,Résidentiel,3 Logements,AGRANDIR LE BALCON AVANT ET REMPLACER LA PLATE-FORME ÉLÉVATRICE TEL QUE PLANS.,0,-73.58427354648163,45.55009262859819,298219.84,5045578.95,0.31676343
98985,3000321522,3000136623,2011-05-09,2011-05-09,668  rue Argyle,Verdun,CO,Rénovation,Habitation,Multiplex,Installer une plate-forme élévatrice en façade.,0,-73.57370675378857,45.4529533535043,299035,5034783.01,0.31676343
415400,3003374154,3001706045,2024-04-15,2024-05-08,5490  rue Robert-Burns,Côte-des-Neiges - Notre-Dame-de-Grâce,TR,Transformation,Résidentiel,2 Logements,"En cour latérale, au rez-de-chaussée, installer une plate-forme élévatrice et remplacer la galerie en modifiant les dimensions. Mur arrière, au rez-de-chaussée, remplacer une porte.",0,-73.65709175767077,45.46120237832464,292514.81,5035709.08,0.31676343
544043,2900110785,2900125698,2008-12-04,2008-12-09,6050  rue Rina-Lasnier,Saint-Léonard,TR,Transformation,Habitation,Multiplex,"À l'arrière du bâtiment, hausser le plancher du balcon du rez-de-chaussée, remplacer la porte-fenêtre par une porte et une fenêtre et installer une plate-forme élévatrice sur une base de béton.",3,-73.5671260293711,45.58255278331753,299561.76,5049185.04,0.31676343
523156,1000851501,1000515701,2001-05-17,2001-05-17,5986  26e Avenue,Rosemont - La Petite-Patrie,TR,Transformation,Résidentiel,2 Logements,INSTALLATION D'UNE PLATE-FORME ÉLÉVATRICE EXT. ET RÉAMÉNAGEMENT DE LA   SALLE DE BAIN AVEC DOUCHE SANS SEUIL ET TRAVAUX CONNEXES.,0,-73.57346700449392,45.56361171243577,299065,5047080.52,0.31676343
251077,3001349349,3000688910,2017-10-18,2017-12-21,703  rue Allard,Verdun,CO,Rénovation,Habitation,Familiale,"Programme d'adaptation à domicile. Cour arrière : Excaver l'emplacement, couler la base de béton et construction d'une galerie tel que le plan déposé. Installation d'une plate-forme élévatrice donnant sur la galerie. Effectuer tous les travaux nécessaire pour relocaliser laveuse et sécheuse au rdc dans la cuisine.",0,-73.57521122066952,45.44614116926617,298916.62,5034026.08,0.31676343
384234,3003298189,3001629695,2023-08-23,2023-08-31,50  avenue Charron,L'Île-Bizard - Sainte-Geneviève,TR,Transformation - modification,Résidentiel,1 Logement,AJOUT D'UNE PLATE-FORME ÉLÉVATRICE AVEC ACCOMPAGNATEUR SUR DALLE DE BÉTON COULÉ EN FAÇADE,0,-73.87448487355994,45.48612748395332,275526.73,5038535.22,0.31676343
470553,1001384904,1000493704,2004-08-19,2004-08-19,4685  rue Bouchette,Côte-des-Neiges - Notre-Dame-de-Grâce,TR,Transformation,Résidentiel,2 Logements,"HAUSSER & AGRANDIR BALCON EN FACADE, INSTALLER NOUVEL ESCALIER. ABAISSERPORTE, INSTALLER UNE PLATE-FORME ÉLÉVATRICE EXT. & RÉAMENAGER SDB",0,-73.64141371012016,45.49758888525422,293748.01,5039750.44,0.31676343
41844,3000121444,3000039578,2008-10-22,2008-11-11,10212  boulevard des Galeries-d'Anjou,Anjou,CO,Permis d'améliorations,Résidentiel,Unifamilial,Rehaussement et agrandissement du balcon avant afin d'installer une nouvelle plate-forme élévatrice.,0,-73.59059850088056,45.60820328471324,297733.28,5052037.44,0.31676343
53048,3000149012,3000047939,2009-07-15,2009-07-15,13785  rue Sherbrooke Est,Rivière-des-Prairies - Pointe-aux-Trembles,TR,Transformation,Résidentiel,1 Logement,Installation d'une plate-forme élévatrice verticale extérieur avant. Élargir 2 portes intérieures.,0,-73.5075187402503,45.663449238016646,304214.11,5058173.13,0.31676343
24312,3000073018,3000024266,2007-06-21,2007-06-21,8000  24e Avenue,Villeray - Saint-Michel - Parc-Extension,TR,Transformation,Résidentiel,1 Logement,Remplacer la plate-forme élévatrice existante et installer une toilette au rez-de-chaussée.,0,-73.60112641835647,45.572047780366326,296907.03,5048020.38,0.31676343
25346,3000059415,3000019767,2006-12-18,2006-12-18,11797  rue Poincaré,Ahuntsic - Cartierville,TR,Transformation,Résidentiel,1 Logement,"INSTALLER UNE PLATE-FORME ÉLÉVATRICE INTÉRIEURE, AMÉNAGER UNE SALLE DE BAIN AVEC UNE DOUCHE SANS SEUIL, ÉLARGIR LES PORTES INTÉRIEURES.",0,-73.68715401870239,45.54363292773195,290185.17,5044874.66,0.31676343
10266,3000025574,3000008334,2005-09-27,2005-10-06,11016  avenue L'Archevêque,Montréal-Nord,TR,Transformation,Résidentiel,Bifamiliale,INSTALLATION D'UNE PLATE-FORME ÉLÉVATRICE EN FAÇADE ET ÉLARGISSEMENT DES PORTES INTÉRIEURES.,2,-73.62992273803904,45.59660859434906,294663.88,5050753.11,0.31676343
284859,3001463086,3000738854,2018-09-24,2018-09-24,8411  rue Saint-Dominique,Villeray - Saint-Michel - Parc-Extension,TR,Transformation,Résidentiel,2 Logements,"EN FACADE, AJOUT D'UNE PLATE-FORME ÉLÉVATRICE",0,-73.63579607588275,45.54109941460566,294195.23,5044585.04,0.31676343
405718,3003466777,3001792453,2024-10-08,2024-11-15,8400  24e Avenue,Villeray - Saint-Michel - Parc-Extension,TR,Transformation,Résidentiel,1 Logement,"EN COUR AVANT,INSTALLER UNE PLATE-FORME ÉLÉVATRICE AFIN D'ACCÉDER AU REZ-DE CHAUSSÉE.LE TOUT TEL QUE PLAN SOUMIS.",0,-73.6073996137914,45.574920451353364,296417.83,5048340.27,0.31676343
286755,3001423232,3000718950,2018-05-15,2018-05-17,12360  41e Avenue,Rivière-des-Prairies - Pointe-aux-Trembles,TR,Transformation,Résidentiel,1 Logement,INSTALLER UNE PLATE-FORME ÉLÉVATRICE À L'ARRIÈRE DU BÂTIMENT,0,-73.57957291046415,45.646733786641825,298597.53,5056318.54,0.31676343
68340,3000129001,3000041092,2009-02-03,2009-02-05,8668  avenue Casgrain,Villeray - Saint-Michel - Parc-Extension,TR,Transformation,Résidentiel,2 Logements,"EN COUR AVANT, AGRANDIR LE BALCON ET INSTALLER UNE PLATE-FORME ÉLÉVATRICE, TEL QUE PLAN.",0,-73.63976257907134,45.542478859432975,293885.74,5044738.87,0.31676343
438381,3003598295,3001890038,2025-09-23,2025-10-27,1080  rue Egan,Verdun,TR,Transformation,Habitation,Multiplex,"PIIA - En façade, au 1086, ajouter une plate-forme élévatrice.",0,-73.5794989027782,45.45212962407534,298581.88,5034691.9,0.31676343
527325,1000070202,1000020502,2002-01-22,2002-01-22,5755  avenue de Carignan,Mercier - Hochelaga-Maisonneuve,TR,Transformation,Résidentiel,2 Logements,INSTALLER UNE PLATE-FORME ÉLÉVATRICE EXTÉRIEURE ET UN OUVRE-PORTE.      RÉAMÉNAGER LA SALLE DE BAIN ET LA CHAMBRE.,0,-73.55412630447438,45.583112466317054,300576.24,5049246.48,0.31676343
102785,3000438276,3000193665,2011-08-15,2011-08-16,5400  boulevard Champlain,Verdun,CO,Rénovation,Habitation,Familiale,Installer plate-forme élévatrice.  Modifier le balcon.  Changer la porte et la fenêtre.,0,-73.58160954721107,45.45330961302199,298416.92,5034823.2,0.31676343
80095,3000165239,3000057908,2009-10-05,2009-10-28,2453  rue Sherbrooke Est,Le Plateau-Mont-Royal,TR,Transformation combinée,Résidentiel,5 à 11 Logements,DANS LA COUR LATÉRALE DROITE (A L'EST DU BATIMENT) REMPLACER UN PERRON D'ENTRÉE EN BOIS PAR UN PERRON D'ENTRÉE PLUS GRAND AVEC UNE PLATE-FORME ÉLÉVATRICE POUR PERSONNE HANDICAPÉE.,0,,,,,0.31676343
80057,3000165766,3000058729,2009-10-08,2009-11-12,5181  7e Avenue,Rosemont - La Petite-Patrie,TR,Transformation,Résidentiel,2 Logements,"À L'AVANT, INSTALLER UNE PLATE-FORME ÉLÉVATRICE TEL QUE PLANS.",0,-73.57258202390277,45.54823776567846,299132.54,5045371.93,0.31676343
281796,3001476698,3000770393,2018-11-28,2019-03-05,4590  rue Saint-Denis,Le Plateau-Mont-Royal,TR,Transformation combinée,Commercial,Mixte,"En façade, au rez-de-chaussée, remplacer toutes les fenêtres du local commercial. Au-dessus de l'entablement, installer un panneau métallique vert. À l'intérieur, réaménager le local. À l'arrière, installer une plate-forme élévatrice et remplacer les ouvertures de la façade arrière.",0,-73.58452317724108,45.52438939037952,298197.35,5042722.54,0.31676343
383822,3001016220,3000488375,2015-06-08,2015-07-17,2120  rue Du Quesne,Mercier - Hochelaga-Maisonneuve,TR,Transformation,Résidentiel,1 Logement,EN AVANT : INSTALLATION D'UNE PLATE-FORME ÉLÉVATRICE CONFORME À LA NORME B-613.,0,-73.52993344541062,45.57179629570795,302463.67,5047987.9,0.31676343
139247,3000605942,3000279203,2012-09-12,2012-09-12,31  rue de Dieppe,L'Île-Bizard - Sainte-Geneviève,TR,Transformation - modification,Résidentiel,1 Logement,RÉNOVATIONS INTÉRIEURES:  CONSTRUIRE UN PALIER ET UN ESCALIER DANS LE GARAGE ET INSTALLER UNE PLATE-FORME ÉLÉVATRICE EXTÉRIEURE À L'INTÉRIEURE DU GARAGE (PROGRAMME PADV),0,-73.8643645881292,45.48320975012149,276316.36,5038207.33,0.31676343
139270,3000609843,3000284183,2012-09-14,2012-09-18,745  4e Avenue,Verdun,CO,Rénovation,Habitation,Familiale,"Remplacer la plate-forme élévatrice en façade et remplacer la porte arrière par une porte en acier avec fenêtre, isolée, de couleur blanche dans l'ouverture déjà existante.",0,-73.57420964019325,45.45714973114739,298996.1,5035249.39,0.31676343
346877,3003098857,3001467673,2021-12-06,2021-12-07,7041  10e Avenue,Villeray - Saint-Michel - Parc-Extension,TR,Transformation,Résidentiel,1 Logement,"EN COUR LATÉRALE, INSTALLER UNE PLATE-FORME ÉLÉVATRICE.",0,-73.59601939667611,45.55730629589913,297303.68,5046381.65,0.31676343
125182,3000447500,3000203923,2011-09-29,2011-11-11,10310  avenue de l' Esplanade,Ahuntsic - Cartierville,TR,Transformation,Résidentiel,2 Logements,"En cour avant, remplacer une plate-forme élévatrice sur base existante",0,-73.66705392971151,45.54567027337672,291755.25,5045097.61,0.31676343
177386,3001112742,3000532794,2015-12-21,2015-12-21,8630  rue Jérôme-Lalemant,Rivière-des-Prairies - Pointe-aux-Trembles,TR,Transformation,Résidentiel,1 Logement,"EN COUR ARRIÈRE, INSTALLER UNE PLATE-FORME ÉLÉVATRICE À PLUS DE 1.2 MÈTRE D'UNE LIMITE DE PROPRIÉTÉ.",0,-73.58629330201455,45.64647057029642,298073.66,5056289.83,0.31676343
124244,3000444754,3000196395,2011-09-13,2011-09-14,983  rue Gordon,Verdun,CO,Rénovation,Habitation,Familiale,Installation d'une plate-forme élévatrice en façade.,0,-73.5765045501179,45.461686452600325,298817.1,5035753.72,0.31676343
4255,3000001033,3000000518,2004-09-24,2004-09-30,11288  avenue Racette,Montréal-Nord,TR,Transformation,Résidentiel,Unifamiliale,AMÉNAGER LE BALCON AVEC UNE PLATE-FORME ÉLÉVATRICE ET AGRANDIR UNE PORTE INTÉRIEURE,1,-73.62788982199565,45.60102411584757,294823.27,5051243.57,0.31676343
520363,1001552501,1000952701,2001-07-31,2001-07-31,6945  rue Hurteau,Le Sud-Ouest,TR,Transformation,Résidentiel,1 Logement,"DANS COUR AVANT AU RC : AGRANDIR LE PERRON DE 1,57 X 1,52M ET INSTALLER UNE PLATE-FORME ÉLÉVATRICE",0,-73.59769001810905,45.44823240421878,297158.51,5034260.37,0.31676343
521359,1000760500,1000411100,2000-05-04,2000-05-08,8994  rue Jeanne-Mance,Ahuntsic - Cartierville,TR,Transformation,Résidentiel,2 Logements,INSTALLER UNE PLATE-FORME ÉLÉVATRICE INTÉRIEURE ENTRE LE SOUS-SOL ET LE R.D.C. ET CHANGER LA TOILETTE.,0,-73.64917510146726,45.53807872948076,293149.79,5044251.2,0.31676343
26287,3000073575,3000024469,2007-06-28,2007-06-28,100  rue Sainte-Catherine Ouest,Ville-Marie,TR,Transformation,Commercial,Edifice à bureau,"NIVEAU 52, 62, 72; SECTION 8, AJOUTER UNE PLATE-FORME ÉLÉVATRICE POUR PERSONNES À MOBILITÉ RÉDUITE.",0,-73.56441933863755,45.50745584238347,299766.28,5040839.25,0.31676343
13001,3000028541,3000009331,2005-11-02,2005-11-10,12041  avenue Philippe-Panneton,Rivière-des-Prairies - Pointe-aux-Trembles,TR,Transformation,Résidentiel,2 Logements,Installation d'une plate-forme élévatrice extérieure en façade et travaux connexes.,0,-73.60028987443707,45.62633163082667,296979.87,5054053,0.31676343
152202,3000739533,3000352586,2014-01-06,2014-01-15,396  rue Bourgeoys,Le Sud-Ouest,TR,Transformation,Résidentiel,1 Logement,"En cour avant, au rez-de-chaussée, modification du balcon pour l'ajout d'une plate-forme élévatrice. Remplacement de la porte extérieure dans la même ouverture.",0,-73.55406235822196,45.479682518482974,300573.49,5037752.19,0.31676343
277059,3001784414,3000955633,2020-02-04,2020-03-03,1287  rue Rachel Est,Le Plateau-Mont-Royal,TR,T1:Transformation ext/PA/PIIA,Résidentiel,1 Logement,"En Façade, remplace la plate-forme élévatrice tel que dessins.",0,-73.57284562556544,45.52751021212311,299109.87,5043068.47,0.31676343
